sensor_type,device_type,timestamps,latitude,longitude,speed
location,smartphone,1.6863375820175928e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337582553849e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337585355096e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863375853567718e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863375853567718e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337585421428e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337585880425e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863375919011868e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337592490262e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337598574223e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337598992673e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337605043756e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337605581841e+18,52.33364812,4.91377532,-1.0
location,smartphone,1.686337611629474e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337612186003e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337618221709e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337622542009e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337622542009e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337622947953e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337629047029e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337629464687e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337635563831e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337635955702e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337641975713e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337642401809e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337648448128e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337648853079e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337654896106e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337655315084e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337661379908e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337661772307e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337667877491e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863376682787348e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863376743271388e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337674711618e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337680744124e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863376811381832e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337687168239e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337687563728e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863376935700209e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337693982006e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.68633770000781e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337700419483e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863377065245258e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337706940168e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337712982482e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337713391912e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337719407022e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337719827113e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337725859301e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337726392528e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337732401778e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863377328021e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337735978677e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337736380644e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337742439152e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337742847391e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337748871665e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.68633774928068e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337755305794e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863377557153882e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337761749592e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863377621441108e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.68633776824829e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337768656051e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337774687027e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337775098377e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.68633778110968e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337781520732e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863377876007642e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337787994205e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337794073219e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863377944756529e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337800584589e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337800996379e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337807029438e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337807450221e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337813484138e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337813893949e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337819903664e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337820316581e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337826419332e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863378268391532e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337832897204e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337833306936e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337839328639e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.68633783973768e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337845804857e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337846201698e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337852214279e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337852623949e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337858644438e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337859054711e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.68633786507794e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337865484529e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337871490023e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863378718938412e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.68633787797331e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337878382568e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337880306019e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.68633788638168e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337886798629e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337892812762e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863378933566362e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863378993791112e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337899792297e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337905814013e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337906203557e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337912259896e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337912670816e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.68633791868786e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337919093649e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337925125054e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337925538937e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337931565881e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337931972596e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337938033952e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337938439523e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337944543288e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337944935183e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.6863379509806582e+18,52.33359549,4.914324795,-1.0
location,smartphone,1.686337951393883e+18,52.33363657,4.913805372,-1.0
location,smartphone,1.686337957460191e+18,52.33359549,4.914324795,-1.0
